No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
182,5.96E-08,8.00E-10,5.29692626,0.5283503,5.29692626,0.5283503,0:1 1:1 2:1 3:1 4:1 5:3 6:5 7:5 8:5 9:8 ,from:0 to:1 operator:-1  from:0 to:5 operator:12  from:0 to:9 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:12  from:3 to:9 operator:17  from:4 to:5 operator:-1  from:4 to:6 operator:17  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,61
189,5.96E-08,1.71E-09,5.492267489,0.455156933,5.492267489,0.455156933,0:1 1:1 2:1 3:1 4:1 5:2 6:3 7:5 8:5 9:6 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:3 to:5 operator:12  from:3 to:6 operator:12  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,67
192,1.19E-07,2.39E-09,5.912482023,0.94751107,5.912482023,0.94751107,0:1 1:1 2:1 3:1 4:2 5:2 6:3 7:7 8:8 9:20 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:3 to:6 operator:-1  from:3 to:7 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:6 to:9 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,68
193,1.19E-07,8.09E-10,6.240469217,0.496649608,6.240469217,0.496649608,0:1 1:1 2:1 3:1 4:2 5:3 6:4 7:8 8:9 9:19 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:5 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:3 to:6 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,68
195,5.96E-08,1.39E-09,6.628312588,1.041408936,6.628312588,1.041408936,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:4 8:5 9:9 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:9 operator:12  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:5 to:9 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,69
202,5.96E-08,1.57E-09,5.892223597,0.997279221,5.892223597,0.997279221,0:1 1:1 2:1 3:1 4:2 5:2 6:3 7:5 8:6 9:8 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:6 operator:17  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:9 operator:12  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,73
204,1.19E-07,1.65E-09,6.439688683,0.670412086,6.439688683,0.670412086,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:3 8:4 9:9 ,from:0 to:1 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,73
206,1.19E-07,1.98E-09,6.73293066,0.950129483,6.73293066,0.950129483,0:1 1:1 2:1 3:1 4:2 5:2 6:3 7:6 8:9 9:17 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:3 to:6 operator:12  from:4 to:5 operator:-1  from:4 to:8 operator:12  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,74
222,1.19E-07,1.63E-09,6.171327591,1.002702038,6.171327591,1.002702038,0:1 1:1 2:1 3:1 4:2 5:3 6:4 7:8 8:11 9:21 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:5 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:3 to:6 operator:12  from:4 to:5 operator:-1  from:4 to:8 operator:12  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,84
224,0,0,5.580748081,1.233455633,5.580748081,1.233455633,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:5 8:8 9:9 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:7 operator:12  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:4  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:6 to:8 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,84
