No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,tfjschrome_tfjsmsedge_max_diff,tfjschrome_tfjsmsedge_mean_diff,tfjsmsedge_torch_max_diff,tfjsmsedge_torch_mean_diff,tfjsmsedge_tf_max_diff,tfjsmsedge_tf_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,71
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,74
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,74
124,0.0,0.0,6.115151762962341,1.126807922410537,6.115151762962341,1.126807922410537,0.0,0.0,6.115151762962341,1.126807922410537,6.115151762962341,1.126807922410537,4.0767678419748945,0.7512052816070246,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:1 to:4 operator:19  from:2 to:3 operator:19  from:3 to:6 operator:19  from:4 to:5 operator:19  from:5 to:8 operator:19  from:6 to:7 operator:19  from:7 to:8 operator:19  ,76
125,5.9604645e-08,4.027108e-09,1.1920928955078125e-07,9.287355674637688e-09,1.1920928955078125e-07,1.0382522035528113e-08,0.0,0.0,1.1920928955078125e-07,9.287355674637688e-09,1.1920928955078125e-07,1.0382522035528113e-08,8.940696716308594e-08,7.227810566791925e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:13  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,76
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,78
130,1.1920929e-07,5.751779e-09,1.7881393432617188e-07,1.7652012131832263e-08,1.7881393432617188e-07,1.890239892182527e-08,0.0,0.0,1.7881393432617188e-07,1.7652012131832263e-08,1.7881393432617188e-07,1.890239892182527e-08,1.3907750447591147e-07,1.3143433526726275e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:13  from:2 to:3 operator:13  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,79
135,5.9604645e-08,7.0107893e-09,1.7881393432617188e-07,2.308745458187197e-08,1.7881393432617188e-07,2.4510308515312284e-08,0.0,0.0,1.7881393432617188e-07,2.308745458187197e-08,1.7881393432617188e-07,2.4510308515312284e-08,1.2914339701334635e-07,1.7034385912802534e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:5  from:1 to:2 operator:19  from:2 to:3 operator:13  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,83
140,5.9604645e-08,4.2513153e-09,1.1920928955078125e-07,9.295979031810054e-09,1.1920928955078125e-07,1.0080704534495319e-08,0.0,0.0,1.1920928955078125e-07,9.295979031810054e-09,1.1920928955078125e-07,1.0080704534495319e-08,8.940696716308594e-08,7.167447072067949e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:13  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,87
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,93
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:4  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,93
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,93
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,95
156,5.9604645e-08,4.2081982e-09,1.1920928955078125e-07,9.390835960706076e-09,1.1920928955078125e-07,1.0339405249666284e-08,0.0,0.0,1.1920928955078125e-07,9.390835960706076e-09,1.1920928955078125e-07,1.0339405249666284e-08,8.940696716308594e-08,7.278113442511351e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:13  from:4 to:5 operator:19  from:5 to:6 operator:19  ,98
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:4  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,98
